Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
Chevrolet-Spark-1-0-LS-Klimaanlage,,,,,,,,8 Monate,,2500 km,,,ADA,0,,0,deny,manual,267,,FALSCH,WAHR
Chevrolet-Spark-1-0-LS-Klimaanlage,,,,,,,,9 Monate,,500 km,,,ADA,0,,0,deny,manual,228,,FALSCH,WAHR
Chevrolet-Spark-1-0-LS-Klimaanlage,,,,,,,,9 Monate,,1000 km,,,ADA,0,,0,deny,manual,237,,FALSCH,WAHR
Chevrolet-Spark-1-0-LS-Klimaanlage,,,,,,,,9 Monate,,1500 km,,,ADA,0,,0,deny,manual,246,,FALSCH,WAHR
Chevrolet-Spark-1-0-LS-Klimaanlage,,,,,,,,9 Monate,,2000 km,,,ADA,0,,0,deny,manual,254,,FALSCH,WAHR
Chevrolet-Spark-1-0-LS-Klimaanlage,,,,,,,,9 Monate,,2500 km,,,ADA,0,,0,deny,manual,263,,FALSCH,WAHR
Chevrolet-Spark-1-0-LS-Klimaanlage,,,,,,,,10 Monate,,500 km,,,ADA,0,,0,deny,manual,225,,FALSCH,WAHR
Chevrolet-Spark-1-0-LS-Klimaanlage,,,,,,,,10 Monate,,1000 km,,,ADA,0,,0,deny,manual,234,,FALSCH,WAHR
Chevrolet-Spark-1-0-LS-Klimaanlage,,,,,,,,10 Monate,,1500 km,,,ADA,0,,0,deny,manual,243,,FALSCH,WAHR
Chevrolet-Spark-1-0-LS-Klimaanlage,,,,,,,,10 Monate,,2000 km,,,ADA,0,,0,deny,manual,251,,FALSCH,WAHR
Chevrolet-Spark-1-0-LS-Klimaanlage,,,,,,,,10 Monate,,2500 km,,,ADA,0,,0,deny,manual,260,,FALSCH,WAHR
Chevrolet-Spark-1-0-LS-Klimaanlage,,,,,,,,11 Monate,,500 km,,,ADA,0,,0,deny,manual,223,,FALSCH,WAHR
Chevrolet-Spark-1-0-LS-Klimaanlage,,,,,,,,11 Monate,,1000 km,,,ADA,0,,0,deny,manual,232,,FALSCH,WAHR
Chevrolet-Spark-1-0-LS-Klimaanlage,,,,,,,,11 Monate,,1500 km,,,ADA,0,,0,deny,manual,240,,FALSCH,WAHR
Chevrolet-Spark-1-0-LS-Klimaanlage,,,,,,,,11 Monate,,2000 km,,,ADA,0,,0,deny,manual,249,,FALSCH,WAHR
Chevrolet-Spark-1-0-LS-Klimaanlage,,,,,,,,11 Monate,,2500 km,,,ADA,0,,0,deny,manual,258,,FALSCH,WAHR
Chevrolet-Spark-1-0-LS-Klimaanlage,,,,,,,,12 Monate,,500 km,,,ADA,0,,0,deny,manual,221,,FALSCH,WAHR
Chevrolet-Spark-1-0-LS-Klimaanlage,,,,,,,,12 Monate,,1000 km,,,ADA,0,,0,deny,manual,230,,FALSCH,WAHR
Chevrolet-Spark-1-0-LS-Klimaanlage,,,,,,,,12 Monate,,1500 km,,,ADA,0,,0,deny,manual,238,,FALSCH,WAHR
Chevrolet-Spark-1-0-LS-Klimaanlage,,,,,,,,12 Monate,,2000 km,,,ADA,0,,0,deny,manual,247,,FALSCH,WAHR
Chevrolet-Spark-1-0-LS-Klimaanlage,,,,,,,,12 Monate,,2500 km,,,ADA,0,,0,deny,manual,256,,FALSCH,WAHR
